class_id,position,question,answer_md,status
antiviral-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
blood-pressure-medicines,1,What are blood pressure medicines used for?,"They are used in the management of high blood pressure, and in some cases for related heart or kidney conditions, as decided by a doctor.",draft
blood-pressure-medicines,2,Why has my doctor prescribed two medicines together?,"Blood pressure is often managed with a combination, because two medicines acting in different ways can allow lower doses of each. Many packs contain a fixed-dose combination for this reason.",draft
blood-pressure-medicines,3,Can I stop taking it once my readings are normal?,No. Normal readings usually mean the medicine is doing its job. Stopping without medical advice can allow blood pressure to rise again.,draft
blood-pressure-medicines,4,Does the time of day matter?,Sometimes. Follow the timing your doctor specified and keep it consistent from day to day.,draft
blood-pressure-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
blood-pressure-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
blood-thinners,1,Do I need regular blood tests?,Some blood thinners require regular monitoring and some do not. Your doctor will tell you which applies.,draft
blood-thinners,2,What should I do before dental work or surgery?,Tell the dentist or surgeon well in advance. They may need to plan around your medicine.,draft
blood-thinners,3,What should I report?,"Unusual bruising, prolonged bleeding, blood in urine or stool, or a fall or head injury.",draft
blood-thinners,4,Can I take painkillers with these?,Not all of them. Some pain relief medicines increase bleeding risk – ask your pharmacist before buying any.,draft
blood-thinners,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
blood-thinners,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
bone-and-joint-medicines,1,Why are there special instructions for bone medicines?,"Some are absorbed poorly and can irritate the food pipe, so they are taken in a specific way – often upright, with water, and away from food.",draft
bone-and-joint-medicines,2,Do these repair a damaged joint?,"No. They are used in the management of symptoms or of the underlying condition, as decided by your doctor.",draft
bone-and-joint-medicines,3,Do I need calcium and vitamin D as well?,"Often, but not always. Your doctor will advise based on your diet and blood results.",draft
bone-and-joint-medicines,4,How long will I need to take these?,It varies by condition. Some are short courses; others are reviewed periodically over years.,draft
bone-and-joint-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
bone-and-joint-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
cancer-medicines,1,Who prescribes medicines in this class?,An oncologist or another specialist involved in the person's cancer care. These medicines are not appropriate for self-selection under any circumstances.,draft
cancer-medicines,2,Why do doses differ so much between people?,"Doses are often calculated from body weight, body surface area, organ function or blood test results, and may be adjusted between treatment cycles.",draft
cancer-medicines,3,Do I need to keep monitoring appointments?,Yes. Regular blood tests and reviews are part of the treatment plan and help your specialist adjust it safely.,draft
cancer-medicines,4,Can these be bought without a prescription?,"No. Every medicine in this class is prescription-only, and a valid prescription is required before an order can be confirmed.",draft
cancer-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
cancer-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
cardiac-medicines,1,Why am I on several heart medicines?,Heart conditions are often managed with a combination that acts in different ways. Each has a role in the overall plan.,draft
cardiac-medicines,2,Can I stop if I feel well?,No. Feeling well usually means the treatment is working. Any change should be made by your doctor.,draft
cardiac-medicines,3,What should I report urgently?,"New or worsening chest pain, breathlessness, or swelling of the ankles should be reported promptly.",draft
cardiac-medicines,4,Do these interact with other medicines?,"Yes, including some over-the-counter products. Tell your pharmacist what you take.",draft
cardiac-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
cardiac-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
cholesterol-medicines,1,Do I still need to watch my diet?,"Yes. These medicines are prescribed alongside diet and activity changes, not instead of them.",draft
cholesterol-medicines,2,Why do I need blood tests?,"Lipid levels and, in some cases, liver enzymes are checked so your doctor can confirm the treatment is working and being tolerated.",draft
cholesterol-medicines,3,Does it matter what time I take it?,For some statins it does. Follow the timing on your prescription and keep it consistent.,draft
cholesterol-medicines,4,What should I report to my doctor?,"Unexplained or persistent muscle pain, tenderness or weakness, and any new medicine or supplement you start.",draft
cholesterol-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
cholesterol-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
cough-and-cold-medicines,1,Can I take two cold products together?,"Usually not. Most are combinations and often share an ingredient, so taking two can double a dose without you realising.",draft
cough-and-cold-medicines,2,Do these shorten a cold?,No. They are used in the management of symptoms while the illness runs its course.,draft
cough-and-cold-medicines,3,Are these suitable for children?,Several are not suitable for young children. Always check the age on the pack and ask a doctor or pharmacist.,draft
cough-and-cold-medicines,4,When should I see a doctor?,"If symptoms last beyond about a week, if there is a high fever, or if breathing becomes difficult.",draft
cough-and-cold-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
cough-and-cold-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
dermatology-medicines,1,How long before I see a change?,Skin conditions usually respond over weeks rather than days. Follow the course your doctor set before judging the result.,draft
dermatology-medicines,2,Can I use a topical steroid for as long as I like?,No. Topical steroids are prescribed for a defined period and strength. Extended or unsupervised use can thin the skin.,draft
dermatology-medicines,3,Does a prescription cream work on any rash?,"No. Rashes have different causes, and a preparation for one can worsen another. Have the condition assessed.",draft
dermatology-medicines,4,Can I use these during pregnancy?,"Some are not suitable in pregnancy. Tell your doctor if you are pregnant, planning a pregnancy or breastfeeding.",draft
dermatology-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
dermatology-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
diuretics,1,When should I take a diuretic?,"Usually earlier in the day, so it does not disturb sleep. Follow the timing your doctor gave you.",draft
diuretics,2,Why do I need blood tests?,"Diuretics change salt and fluid balance, so levels are checked periodically to keep them in a safe range.",draft
diuretics,3,What should I report?,"Severe dizziness, muscle cramps, unusual weakness, or a rapid change in weight.",draft
diuretics,4,Should I drink less water?,Not unless your doctor has told you to restrict fluids. Ask before changing what you drink.,draft
diuretics,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
diuretics,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
gastrointestinal-medicines,1,What is the difference between an antacid and an acid-reducing medicine?,Antacids act on acid already present and are typically used for short-term relief. Acid-reducing medicines lower how much acid is produced and are usually taken on a schedule set by a doctor.,draft
gastrointestinal-medicines,2,Can I take these long term?,Extended use should be reviewed by a doctor. Persistent symptoms may need investigation rather than continued symptomatic relief.,draft
gastrointestinal-medicines,3,Does food timing matter?,Often yes. Some are taken before food and some after. Follow the instruction on your prescription or ask your pharmacist.,draft
gastrointestinal-medicines,4,When should I see a doctor instead?,"Seek medical advice for symptoms that persist or recur, or for unexplained weight loss, difficulty swallowing, or blood in vomit or stool.",draft
gastrointestinal-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
gastrointestinal-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
gout-medicines,1,What is the difference between the two types?,One group is used during an acute attack; the other is taken continuously to lower uric acid over time. They have different roles and are not interchangeable.,draft
gout-medicines,2,Should I stop my long-term medicine during an attack?,Usually not. Follow your doctor's advice – stopping can make things worse.,draft
gout-medicines,3,Why did an attack start after beginning treatment?,"This can happen when uric acid levels change, and it does not mean the medicine is wrong. Tell your doctor.",draft
gout-medicines,4,Does diet still matter?,Yes. Diet and fluid intake remain part of managing gout alongside medicine.,draft
gout-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
gout-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
iron-and-anaemia-medicines,1,How long will I need to take iron?,"Usually several months, because stores take time to rebuild. Your doctor will repeat blood tests to decide.",draft
iron-and-anaemia-medicines,2,Does it matter what I take it with?,"Yes. Tea, coffee, calcium and some medicines reduce absorption. Ask your pharmacist about timing.",draft
iron-and-anaemia-medicines,3,Why has my stool changed colour?,"Iron commonly darkens stool. This is expected, but mention any pain or bleeding to your doctor.",draft
iron-and-anaemia-medicines,4,Should the cause be investigated?,"Usually yes. Anaemia is a finding, and your doctor will want to establish why it developed.",draft
iron-and-anaemia-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
iron-and-anaemia-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
liver-care-medicines,1,Why does my doctor want to know about supplements?,"The liver processes most medicines and supplements. Some herbal products can affect liver function, so your doctor needs the full list.",draft
liver-care-medicines,2,Do I need regular blood tests?,Usually yes. Liver function is monitored so treatment can be adjusted.,draft
liver-care-medicines,3,Can I drink alcohol?,Follow your doctor's advice. In many liver conditions alcohol is not recommended.,draft
liver-care-medicines,4,How long is treatment?,It depends on the condition. Some are short courses; others are managed over years.,draft
liver-care-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
liver-care-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
mens-health-medicines,1,Do I need a prescription?,"Yes, for most medicines in this class. A doctor should confirm suitability before use.",draft
mens-health-medicines,2,Are there medicines these must not be combined with?,Yes. Several interact seriously with nitrate heart medicines. Tell your doctor about everything you take.,draft
mens-health-medicines,3,Is it safe to buy these from unverified sellers?,No. Buy only from a licensed pharmacy against a valid prescription.,draft
mens-health-medicines,4,Should an underlying cause be investigated?,Often yes. These symptoms can be a sign of another condition worth assessing.,draft
mens-health-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
mens-health-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
mental-health-medicines,1,How long do these medicines take to work?,"It varies by medicine and by person. Some are assessed over several weeks, which is why doctors usually ask for a review before deciding whether a change is needed.",draft
mental-health-medicines,2,Can I stop when I feel better?,"No. Several medicines in this class need to be reduced gradually rather than stopped, and feeling better often means the treatment is working. Any change should be planned with your doctor.",draft
mental-health-medicines,3,Why is a fresh prescription sometimes required?,"Many of these are Schedule H or H1 medicines. Dispensing is recorded and regulated, so a valid, current prescription is required.",draft
mental-health-medicines,4,Are these medicines habit-forming?,"Some groups, such as certain sedatives, carry a dependence risk and are prescribed for limited periods. Your doctor will explain which category your medicine falls into.",draft
mental-health-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
mental-health-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
migraine-medicines,1,When should I take an attack medicine?,Usually as early in the attack as possible. Follow the advice your doctor gave for your specific medicine.,draft
migraine-medicines,2,What is a preventive medicine?,"One taken regularly to reduce how often attacks occur, rather than to treat one in progress.",draft
migraine-medicines,3,Can taking these too often cause problems?,Yes. Frequent use of attack medicines can lead to medication-overuse headache. Tell your doctor how often you use them.,draft
migraine-medicines,4,Should I track my attacks?,It helps. A record of frequency and triggers makes it easier for your doctor to adjust treatment.,draft
migraine-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
migraine-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
muscle-relaxants,1,Will these make me drowsy?,Commonly yes. Avoid driving or operating machinery until you know how they affect you.,draft
muscle-relaxants,2,How long should I take them?,Usually a short course. Extended use should be discussed with your doctor.,draft
muscle-relaxants,3,Can I take them with pain relief?,"Often they are prescribed together, but check with your doctor or pharmacist before combining anything.",draft
muscle-relaxants,4,Should I rest completely?,Usually not. Gentle movement and physiotherapy are often part of recovery – ask your doctor.,draft
muscle-relaxants,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
muscle-relaxants,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
nerve-pain-medicines,1,Why has my doctor prescribed a medicine used for epilepsy?,Several medicines developed for other conditions are effective in the management of nerve pain. Your doctor has chosen it for that purpose.,draft
nerve-pain-medicines,2,How long before it helps?,"Often several weeks, because the dose is built up gradually. Your doctor will review with you.",draft
nerve-pain-medicines,3,Can I stop once the pain settles?,Discuss it first. Several of these need to be reduced gradually rather than stopped.,draft
nerve-pain-medicines,4,Will it make me drowsy?,Drowsiness and dizziness are common at the start and often settle. Take care driving until you know how it affects you.,draft
nerve-pain-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
nerve-pain-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
neurological-medicines,1,Why is the dose increased slowly?,Many of these medicines are introduced gradually so the body can adjust and so the prescriber can find the lowest effective dose.,draft
neurological-medicines,2,What if I miss a dose?,Follow the advice your doctor or pharmacist gave for your specific medicine. Do not double a dose to catch up unless you have been told to.,draft
neurological-medicines,3,Can I switch between brands of the same molecule?,"Discuss it with your doctor first. For some neurological medicines, staying on the same product is preferred.",draft
neurological-medicines,4,Do these medicines interact with others?,Interactions are common in this class. Tell your doctor and pharmacist about every medicine and supplement you take.,draft
neurological-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
neurological-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
pain-relief-medicines,1,Can I take two pain relief medicines together?,"Not without advice. Many combination products contain the same active ingredient, and doubling up can exceed the safe daily amount.",draft
pain-relief-medicines,2,How long can I take these for?,Short-term use is typical for everyday pain. Pain that persists should be assessed by a doctor rather than managed indefinitely.,draft
pain-relief-medicines,3,Should I take these with food?,Anti-inflammatory medicines are usually taken with food to reduce stomach irritation. Follow the instruction on your pack.,draft
pain-relief-medicines,4,Who should be careful with anti-inflammatory medicines?,"People with stomach ulcers, kidney conditions, asthma, or who are pregnant should ask a doctor first.",draft
pain-relief-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
pain-relief-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
prostate-care-medicines,1,How long before these help?,Some act within weeks; others work over several months. Your doctor will tell you which group yours is in.,draft
prostate-care-medicines,2,Are there side effects to expect?,Dizziness on standing is common with some. Stand up slowly at first and tell your doctor if it persists.,draft
prostate-care-medicines,3,Do these affect prostate blood tests?,Some can. Make sure any doctor arranging a PSA test knows what you take.,draft
prostate-care-medicines,4,Do I still need check-ups?,Yes. Symptoms should be reviewed periodically as your doctor advises.,draft
prostate-care-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
prostate-care-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
respiratory-medicines,1,What is the difference between a reliever and a preventer?,"A reliever is used when symptoms occur. A preventer is taken regularly to keep the airways settled, whether or not you have symptoms that day.",draft
respiratory-medicines,2,Can I stop my preventer when I feel fine?,No. Feeling fine is usually the result of the preventer working. Any change should come from your doctor.,draft
respiratory-medicines,3,Does inhaler technique matter?,Very much. Ask your pharmacist to check your technique – poor technique is a common reason an inhaler seems ineffective.,draft
respiratory-medicines,4,When should I seek help urgently?,"If breathlessness is severe, if your reliever is not helping, or if you need it far more often than usual.",draft
respiratory-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
respiratory-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
steroids,1,Why must the dose be reduced gradually?,"After more than a short course the body adjusts to the medicine, and stopping abruptly can cause a serious reaction. Follow the tapering schedule exactly.",draft
steroids,2,Should I take these with food?,"Usually yes, to reduce stomach irritation. Follow the instruction on your prescription.",draft
steroids,3,What should I watch for?,"Tell your doctor about raised blood sugar, mood changes, or signs of infection, and mention steroid use to any clinician who treats you.",draft
steroids,4,Are inhaled or topical steroids the same?,No. They act mainly where applied and carry different considerations from steroid tablets.,draft
steroids,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
steroids,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
vaccines,1,Do vaccines need special storage?,"Most do. They require unbroken cold-chain storage, and a vaccine kept outside its temperature range may not work.",draft
vaccines,2,Can I administer a vaccine myself?,No. Vaccines should be administered by a trained healthcare professional who can manage any immediate reaction.,draft
vaccines,3,Do I need more than one dose?,Many vaccines are given as a schedule of doses. Your doctor will explain the schedule for yours.,draft
vaccines,4,What should I do about a reaction?,Mild soreness or fever is common. Contact your doctor about anything severe or unexpected.,draft
vaccines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
vaccines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
vitamins-and-supplements,1,Do I need a supplement?,"That depends on your diet, your health and, in some cases, a blood test. A doctor can advise whether a supplement is appropriate for you.",draft
vitamins-and-supplements,2,Can I take more than the stated amount?,No. Some vitamins are stored in the body and can build up to harmful levels. Stay within the amount advised on the pack or by your doctor.,draft
vitamins-and-supplements,3,Can supplements interact with prescribed medicines?,"Yes. Several interact with prescription medicines, so tell your doctor and pharmacist what you take.",draft
vitamins-and-supplements,4,Do these replace a balanced diet?,"No. Supplements are intended to support a diet, not to substitute for one.",draft
vitamins-and-supplements,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
vitamins-and-supplements,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
weight-management-medicines,1,Are these available without a prescription?,No. Medicines in this class are prescription-only and are prescribed against defined clinical criteria.,draft
weight-management-medicines,2,Do I still need to change diet and activity?,"Yes. These medicines are prescribed alongside those changes, not instead of them.",draft
weight-management-medicines,3,How is progress monitored?,Your doctor will set a review schedule and decide whether to continue based on how you respond and tolerate it.,draft
weight-management-medicines,4,What happens if I stop?,Discuss this with your doctor before stopping so the wider plan can be adjusted.,draft
weight-management-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
weight-management-medicines,6,Can two medicines from this class be used interchangeably?,"Not necessarily. Medicines in the same class can differ in composition, strength and suitability. Only your doctor or pharmacist can decide whether one may be used in place of another.",draft
womens-health-medicines,1,Does it matter when in my cycle I take these?,"For several medicines in this class, yes. Follow the schedule your doctor gave you precisely.",draft
womens-health-medicines,2,What if I miss a dose?,"Ask your doctor or pharmacist about your specific medicine rather than guessing, as advice differs between products.",draft
womens-health-medicines,3,Can I take these while pregnant?,"Some are not suitable in pregnancy. Tell your doctor if you are pregnant, might be, or are breastfeeding.",draft
womens-health-medicines,4,Do these need monitoring?,Some do. Your doctor will tell you what checks are needed and when.,draft
womens-health-medicines,5,Do I need a prescription for these medicines?,"Many medicines in this class are prescription-only. Where a prescription is required, you will be asked to upload a valid prescription before the order is confirmed.",draft
