class_id,slug,class_name,h1_override,short_desc,icon,is_popular,popular_rank,rx_required,parent_class_id,sub_classes,related_class_ids,synonyms,catalogue_count_override,status,redirect_to,sitemap_priority,conditions,category
cholesterol-medicines,cholesterol-medicines,Cholesterol Medicines,,Medicines used in the management of lipid levels,trend,TRUE,7,TRUE,,Statins|Combinations|Fibrates|Hypolipidemic Drugs,,,68,live,,0.9,cholesterol|high cholesterol|lipid|triglycerides|fat in blood,Heart health
cough-and-cold-medicines,cough-and-cold-medicines,Cough and Cold Medicines,,"Medicines used for cough, cold and blocked nose",syrup,FALSE,,TRUE,,,,,39,live,,0.8,cold|common cold|cough|sore throat|throat pain|blocked nose|runny nose|sneezing|congestion|flu|throat infection,Respiratory care
dermatology-medicines,dermatology-medicines,Dermatology Medicines,,"Medicines used for skin, hair and nail concerns",skin,TRUE,10,TRUE,,Topical Antimicrobial and Steroid|Anti-Acne|Melasma|Alopecia|Anti-Dandruff|Psoriasis|Topical Antibiotic and Steroid|Hair Care|Skin Care|Atopic Dermatitis,,,45,live,,0.9,acne|pimples|dandruff|hair fall|hair loss|fungal infection|ringworm|eczema|psoriasis|melasma|dark spots|skin|scalp|baldness,Skin care
diuretics,diuretics,Diuretics,,Medicines that help the body remove excess fluid,kidney,FALSE,,TRUE,,,,,11,live,,0.8,swelling|water retention|oedema|edema|fluid retention|puffiness,Kidney care
gastrointestinal-medicines,gastrointestinal-medicines,Gastrointestinal Medicines,,Medicines used for digestive and gut concerns,stomach,TRUE,8,TRUE,,Antacid and Anti-Emetic|Antacid|Anti-Emetic|Antacid and Anti-Reflux|Anti-Spasmodics|Prebiotic and Probiotic|Anti-Diarrhoeal|Digestants|Laxative|Antacid and Anti-Flatulent|Appetite Stimulant|Anal Fissure|Anti-Flatulent and Digestants|Ulcerative Colitis,,,103,live,,0.9,acidity|acid reflux|heartburn|gas|gastric|indigestion|constipation|loose motion|diarrhoea|diarrhea|vomiting|nausea|stomach pain|ulcer|piles|bloating|motion,Digestive care
gout-medicines,gout-medicines,Gout Medicines,,Medicines used in the management of gout,joint,FALSE,,TRUE,,Xanthine oxidase inhibitors|Anti-inflammatory agents,,,14,live,,0.8,gout|uric acid|high uric acid|toe pain,Bone health
iron-and-anaemia-medicines,iron-and-anaemia-medicines,Iron and Anaemia Medicines,,Iron and other medicines used for anaemia,blood,FALSE,,TRUE,,Haematinics|Sickle Cell Anaemia,,,11,live,,0.8,anaemia|anemia|low haemoglobin|low hemoglobin|iron deficiency|weakness|low blood,Blood health
liver-care-medicines,liver-care-medicines,Liver Care Medicines,,Medicines used for liver and gallbladder conditions,liver,FALSE,,TRUE,,Cholelithiasis|Hepatoprotective,,,9,live,,0.8,liver|fatty liver|jaundice|gallstone|liver problem|hepatitis,Liver care
mens-health-medicines,mens-health-medicines,Men's Health Medicines,,Medicines used in men's health and sexual wellness,male,FALSE,,TRUE,,Sexual Wellness|Erectile Dysfunction,,,22,live,,0.8,erectile dysfunction|ed|sexual wellness|libido|performance|mens health|premature,Men's health
mental-health-medicines,mental-health-medicines,Mental Health Medicines,,Medicines used in the management of mental health conditions,brain,TRUE,11,TRUE,,Benzodiazepines|Atypical antipsychotics|SSRIs|Combinations|Tricyclic antidepressants|SNRIs|Anti-Anxiety|Anti-Depressant|Anti-Psychotics|Other antidepressants|Mood stabilisers|Deaddiction,,,125,live,,0.9,depression|anxiety|stress|panic|bipolar|schizophrenia|ocd|mental health|mood|insomnia|sleeplessness|sleep,Mental wellness
migraine-medicines,migraine-medicines,Migraine Medicines,,Medicines used in the management of migraine,head,FALSE,,TRUE,,,,,9,live,,0.8,migraine|severe headache|half headache,Neurology care
muscle-relaxants,muscle-relaxants,Muscle Relaxants,,Medicines used for muscle spasm and stiffness,muscle,FALSE,,TRUE,,,,,11,live,,0.8,muscle pain|muscle spasm|cramps|stiffness|spasm|neck stiffness,Pain care
nerve-pain-medicines,nerve-pain-medicines,Nerve Pain Medicines,,Medicines used in the management of nerve pain,nerve,FALSE,,TRUE,,Peripheral Neuropathy,,,38,live,,0.8,nerve pain|numbness|tingling|neuropathy|burning feet|diabetic nerve pain,Neurology care
neurological-medicines,neurological-medicines,Neurological Medicines,,Medicines used for neurological conditions,brain,FALSE,,TRUE,,Anti-Epileptic|Anti-Parkinsonian|Cerebro Protective|Alzheimer Disease|Anti-Vertigo|Multiple Sclerosis|Myasthenia Gravis,,,66,live,,0.8,epilepsy|seizure|fits|parkinson|alzheimer|dementia|vertigo|giddiness|memory loss|convulsion,Neurology care
pain-relief-medicines,pain-relief-medicines,Pain Relief Medicines,,Medicines used for pain and inflammation,capsule,TRUE,3,TRUE,,Analgesic/antipyretic|Anti-Inflammatory|Analgesic|Topical Analgesic,,,60,live,,0.9,fever|temperature|body pain|body ache|headache|back pain|toothache|joint pain|sprain|inflammation|pain|muscle ache|period pain,Pain care
prostate-care-medicines,prostate-care-medicines,Prostate Care Medicines,,Medicines used for prostate-related concerns,male,FALSE,,TRUE,,,,,12,live,,0.8,prostate|urine problem|frequent urination|enlarged prostate|difficulty passing urine,Men's health
respiratory-medicines,respiratory-medicines,Respiratory Medicines,,Medicines used for breathing-related concerns,lungs,TRUE,9,TRUE,,Leukotriene antagonists|Xanthines|Combinations|Beta-2 agonists|Inhaled corticosteroids|Anti-Asthmatic,,,27,live,,0.9,asthma|breathing problem|breathlessness|wheezing|copd|shortness of breath|inhaler,Respiratory care
steroids,steroids,Steroids,,Corticosteroid medicines used for inflammatory conditions,vial,FALSE,,TRUE,,Other|Topical Steroid,,,18,live,,0.8,steroid|severe inflammation|autoimmune|swelling,Hormone care
vaccines,vaccines,Vaccines,,Vaccines used for preventive protection,syringe,FALSE,,TRUE,,,,,18,live,,0.8,vaccine|vaccination|immunisation|immunization|shot,Immunity care
vitamins-and-supplements,vitamins-and-supplements,Vitamins and Supplements,,Everyday nutritional and supplement products,star,TRUE,12,TRUE,,Other|Calcium and Vitamin D Supplementation|Multivitamin|Nutritional Supplement|Electrolytes|Antioxidant,,,62,live,,0.9,vitamin deficiency|immunity|calcium|vitamin d|vitamin b12|multivitamin|supplement|weakness|nutrition,Nutrition
weight-management-medicines,weight-management-medicines,Weight Management Medicines,,Medicines used in the management of weight,scale,FALSE,,TRUE,,GLP-1 receptor agonists|Lipase inhibitors,,,23,live,,0.8,weight loss|obesity|overweight|weight|fat loss,Nutrition
womens-health-medicines,womens-health-medicines,Women's Health Medicines,,Medicines used in women's health and hormonal care,female,FALSE,,TRUE,,Female Infertility|Hormone Replacement Therapy|Female Hormone Pills|Menstrual and Gynaecological Disorders|Polycystic Ovarian Disease|Premature Labour Prevention|Infertility|Hyperprolactinemia,,,26,live,,0.8,pregnancy|periods|irregular periods|pcod|pcos|menopause|infertility|hormonal|white discharge|conceive,Women's health
