class_id,meta_title,meta_description,intro_md,about_heading,about_md,subclass_heading,subclass_md,prescription_heading,prescription_md,safety_bullets_md,reviewer_name,reviewer_credentials,reviewer_profile_url,medically_reviewed_on,content_last_updated,canonical_override,noindex,content_status
cardiac-medicines,Cardiac Medicines - Buy Online at Best Price | PharmEasy,"Browse 35 cardiac medicines on PharmEasy. Medicines used in the management of heart health. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of heart conditions, including angina and heart failure.",About Cardiac Medicines,"Cardiac medicines are used in the management of conditions affecting the heart. Groups differ in how they act – some reduce the heart's workload, some improve blood flow, and some help the body manage fluid.

Several medicines in this class are prescribed in a specific combination, and the benefit comes from the combination rather than any one of them. Dropping one because you feel well can undo the rest.",Sub-classes you will find here,"Within this class you will find Anti-Anginal, Varicose Veins, Congestive Heart Failure and Vasodilating Agent. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Never stop a heart medicine on your own. Report new breathlessness, swelling or chest pain to your doctor promptly.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
cholesterol-medicines,Cholesterol Medicines - Buy Online at Best Price | PharmEasy,"Browse 68 cholesterol medicines on PharmEasy. Medicines used in the management of lipid levels. Compare packs, compositions and prices. 100% genuine medicines","Medicines used in the management of cholesterol and other blood lipids, usually alongside changes to diet and activity.",About Cholesterol Medicines,"Cholesterol medicines are used in the management of raised lipid levels. Statins are the most widely prescribed group; others act on triglycerides or on how much cholesterol is absorbed from food.

Lipid medicines are generally taken long term and work quietly – there is usually nothing to feel. Blood tests, not symptoms, tell you and your doctor whether the treatment is doing its job.",Sub-classes you will find here,"Within this class you will find Statins, Fibrates, Combinations and Hypolipidemic Drugs. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Report unexplained or persistent muscle pain or weakness to your doctor. Keep the blood tests your doctor has scheduled.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
cough-and-cold-medicines,Cough and Cold Medicines - Buy Online at Best Price | PharmEasy,"Browse 39 cough and cold medicines on PharmEasy. Medicines used for cough, cold and blocked nose. Compare packs, compositions and prices. 100% genuine medicin","Medicines used in the management of cough, cold and blocked-nose symptoms. Most are combination preparations containing several active ingredients.",About Cough and Cold Medicines,"Cough and cold preparations are used in the management of symptoms – blocked nose, cough, sore throat and fever. Most are combinations, which is why two products bought separately can easily overlap.

Because most of these are combinations, taking two different cold products together often means taking the same ingredient twice. Read the ingredient list, not just the brand name.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Check the ingredients before combining products, and take particular care with children's doses.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
dermatology-medicines,Dermatology Medicines - Buy Online at Best Price | PharmEasy,"Browse 45 dermatology medicines on PharmEasy. Medicines used for skin, hair and nail concerns. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of skin, hair and nail conditions, including preparations applied to the skin and those taken by mouth.",About Dermatology Medicines,"This class covers medicines used for skin, hair and nail conditions – acne, fungal infections, pigmentation, hair loss and inflammatory skin conditions. Many are applied topically; some are taken by mouth.

Skin treatments usually take weeks before an effect is visible, and topical steroids in particular are meant for defined courses rather than open-ended use, especially on the face.",Sub-classes you will find here,"Within this class you will find Melasma, Psoriasis, Topical Antibiotic and Steroid, Topical Antimicrobial and Steroid, Anti-Acne, Hair Care, Skin Care, Alopecia, Anti-Dandruff and Atopic Dermatitis. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Use topical steroids only for the period your doctor specified, and avoid the face unless it was specifically prescribed for that.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
diuretics,Diuretics - Buy Online at Best Price | PharmEasy,"Browse 11 diuretics on PharmEasy. Medicines that help the body remove excess fluid. Compare packs, compositions and prices. 100% genuine medicines.",Medicines used in the management of fluid retention and blood pressure by helping the body remove excess salt and water.,About Diuretics,"Diuretics help the body clear excess fluid and salt. They are used in blood pressure management, heart failure and other conditions where fluid builds up.

Because diuretics change the body's salt and water balance, they usually come with periodic blood tests. Those tests are how problems get caught before they cause symptoms.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Keep the blood tests your doctor has scheduled, and report severe dizziness, cramps or unusual weakness.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
gastrointestinal-medicines,Gastrointestinal Medicines - Buy Online at Best Price | PharmEasy,"Browse 103 gastrointestinal medicines on PharmEasy. Medicines used for digestive and gut concerns. Compare packs, compositions and prices. 100% genuine medici","Medicines used in the management of digestive concerns – acidity and reflux, nausea, cramps, altered bowel habit and related conditions.",About Gastrointestinal Medicines,"This class groups medicines used for the stomach and intestines. It includes antacids and acid-reducing medicines, anti-emetics for nausea, antispasmodics for cramps, and preparations used for altered bowel habit.

Ongoing digestive symptoms are worth investigating rather than managing indefinitely with over-the-counter relief. Persistent acidity, unexplained weight loss or blood in the stool should always be reviewed by a doctor.",Sub-classes you will find here,"Within this class you will find Anti-Spasmodics, Anti-Emetic, Prebiotic and Probiotic, Laxative, Antacid, Antacid and Anti-Emetic, Anti-Diarrhoeal, Digestants, Antacid and Anti-Flatulent, Antacid and Anti-Reflux, Appetite Stimulant, Anal Fissure, Anti-Flatulent and Digestants and Ulcerative Colitis. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Long-term use of acid-reducing medicines should be reviewed periodically by a doctor rather than continued indefinitely.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
gout-medicines,Gout Medicines - Buy Online at Best Price | PharmEasy,"Browse 14 gout medicines on PharmEasy. Medicines used in the management of gout. Compare packs, compositions and prices. 100% genuine medicines.",Medicines used in the management of gout – both for acute attacks and for lowering uric acid over the longer term.,About Gout Medicines,"Gout medicines fall into two distinct roles: those used during an acute attack, and those taken continuously to lower uric acid levels. They are not interchangeable.

Uric-acid-lowering medicines can trigger an attack when first started, which is expected rather than a sign the medicine is wrong. Stopping at that point is a common mistake.",Sub-classes you will find here,Within this class you will find Xanthine oxidase inhibitors and Anti-inflammatory agents. Two medicines from different sub-classes are not alternatives to each other.,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Do not stop a uric-acid-lowering medicine during an attack unless your doctor tells you to.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
iron-and-anaemia-medicines,Iron and Anaemia Medicines - Buy Online at Best Price | PharmEasy,"Browse 11 iron and anaemia medicines on PharmEasy. Iron and other medicines used for anaemia. Compare packs, compositions and prices. 100% genuine medicines.","Iron preparations and related medicines used in the management of anaemia, taken under medical advice.",About Iron and Anaemia Medicines,"These medicines are used in the management of anaemia, most often iron deficiency. Correcting the level takes months, and finding the cause of the deficiency matters as much as correcting it.

Anaemia is a finding rather than a diagnosis. Correcting the level without establishing why it dropped can leave the underlying cause unaddressed.",Sub-classes you will find here,Within this class you will find Haematinics and Sickle Cell Anaemia. Two medicines from different sub-classes are not alternatives to each other.,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Keep iron preparations away from children – iron overdose in children is a medical emergency.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
liver-care-medicines,Liver Care Medicines - Buy Online at Best Price | PharmEasy,"Browse 9 liver care medicines on PharmEasy. Medicines used for liver and gallbladder conditions. Compare packs, compositions and prices. 100% genuine medicine","Medicines used in the management of liver and gallbladder conditions, taken under medical supervision.",About Liver Care Medicines,"This class covers medicines used in the management of liver and gallbladder conditions. Because the liver processes most medicines, what else you take matters more than usual here.

The liver processes the majority of medicines, so anything you add – including supplements and over-the-counter products – should be checked with your doctor.",Sub-classes you will find here,Within this class you will find Cholelithiasis and Hepatoprotective. Two medicines from different sub-classes are not alternatives to each other.,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Tell your doctor about every medicine, supplement and herbal product you take, and follow any advice about alcohol.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
mens-health-medicines,Men's Health Medicines - Buy Online at Best Price | PharmEasy,"Browse 22 men's health medicines on PharmEasy. Medicines used in men's health and sexual wellness. Compare packs, compositions and prices. 100% genuine medici","Medicines used in the management of men's health concerns, including sexual wellness. Most are prescription-only.",About Men's Health Medicines,"This class covers medicines used in men's health, including sexual wellness. Several interact seriously with heart medicines, which is why a prescription and an honest medication history matter here.

Medicines in this class can interact dangerously with nitrate heart medicines. Tell your doctor everything you take, including anything bought without a prescription.",Sub-classes you will find here,Within this class you will find Sexual Wellness and Erectile Dysfunction. Two medicines from different sub-classes are not alternatives to each other.,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Do not combine these with nitrate heart medicines. Tell your doctor about every medicine you take, including any bought online.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
mental-health-medicines,Mental Health Medicines - Buy Online at Best Price | PharmEasy,"Browse 125 mental health medicines on PharmEasy. Medicines used in the management of mental health conditions. Compare packs, compositions and prices. 100% ge","Medicines used in the management of mental health conditions, prescribed and reviewed by a doctor. Many are Schedule H or H1 and are dispensed under strict conditions.",About Mental Health Medicines,"This class covers medicines used in the management of depression, anxiety, bipolar disorder, psychosis and related conditions. Groups within it act on different chemical pathways, and the right choice depends on the diagnosis, the person's history and how they respond over time.

Many medicines in this class need several weeks before their full effect is assessed, and several must be tapered rather than stopped abruptly. Both are reasons to stay in contact with the prescriber rather than adjusting the dose yourself.",Sub-classes you will find here,"Within this class you will find Combinations, Tricyclic antidepressants, Benzodiazepines, Anti-Anxiety, SSRIs, Atypical antipsychotics, Other antidepressants, SNRIs, Anti-Psychotics, Anti-Depressant, Mood stabilisers and Deaddiction. Two medicines from different sub-classes are not alternatives to each other.",Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Do not stop suddenly – several of these medicines need to be reduced gradually under medical supervision. Tell your doctor promptly about any change in mood or thinking.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
migraine-medicines,Migraine Medicines - Buy Online at Best Price | PharmEasy,"Browse 9 migraine medicines on PharmEasy. Medicines used in the management of migraine. Compare packs, compositions and prices. 100% genuine medicines.",Medicines used in the management of migraine – both for treating an attack and for reducing how often attacks occur.,About Migraine Medicines,"Migraine medicines fall into two roles: those taken during an attack, and those taken regularly to reduce how often attacks happen. Attack medicines generally work best taken early.

Taking attack medicines too often can itself cause more frequent headaches. If you are reaching for them most weeks, that is worth raising with your doctor.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Frequent use of attack medicines can lead to medication-overuse headache. Tell your doctor how often you use them.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
muscle-relaxants,Muscle Relaxants - Buy Online at Best Price | PharmEasy,"Browse 11 muscle relaxants on PharmEasy. Medicines used for muscle spasm and stiffness. Compare packs, compositions and prices. 100% genuine medicines.","Medicines used in the management of muscle spasm and associated pain, generally for short periods.",About Muscle Relaxants,"Muscle relaxants are used in the management of muscle spasm, often alongside pain relief and physiotherapy. Most are intended for short courses.

These are usually prescribed as a short course alongside movement and physiotherapy – the medicine is meant to make the rest possible, not to substitute for it.",,,Prescription and dosage,"Medicines in this class are prescription-only unless the pack states otherwise. Always order the exact strength and dosage form written on your prescription, and continue any monitoring your doctor has advised.","Drowsiness is common. Do not drive or operate machinery until you know how these affect you.
**Do not self-medicate.** Use medicines only as advised by a qualified doctor.
**Check the strength and dosage form** on your prescription before ordering.
**Tell your doctor about allergies** and about every other medicine or supplement you take.
**Do not stop a prescribed medicine** without medical advice, even if you feel better.",,,,2026-07-24,2026-07-24,,FALSE,draft
